"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m5",0,1575,0.0379,0.5402,-0.268
"m3",22.8,1597.8,-0.3319,0.1693,-0.0335
"m2",25,1600,-0.4042,0.0228,0.0332
"m1",25.9,1600.9,-0.419,-0.1854,0.0909
"m4",25.9,1600.9,-0.3642,0.3766,-0.1391
"m6",25.9,1600.9,-0.3642,0.3766,-0.1391
