"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m3",0,1593.8,-0.3475,0.2985,-0.1046
"m4",42.2,1636,-0.1687,-0.001,0.0317
"m2",105,1698.8,-0.3499,0.0699,0.0361
"m1",109.1,1702.9,-0.3828,0.0997,-0.0877
