"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m4",0,1573.9,2.44809758850554e+36,1.12569702796164e+35,-0.6236
"m5",1.1,1575,-0.0115,0.5387,-0.2678
"m1",19.9,1593.8,-0.3475,0.2985,-0.1046
"m2",23.9,1597.8,-0.3304,0.165,-0.0315
"m3",27,1600.9,-0.3594,0.3582,-0.1175
