"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m7",0,1575,-0.0115,0.5387,-0.2678
"m9",2.8,1577.8,-0.2771,0.2081,-0.0325
"m8",3.5,1578.5,-0.4912,0.2135,-0.0378
"m10",12.3,1587.3,-0.3005,0.2217,-0.0064
"m3",18.8,1593.8,-0.3475,0.2985,-0.1046
"m5",22.8,1597.8,-0.3304,0.165,-0.0315
"m6",25.9,1600.9,-0.3594,0.3582,-0.1175
"m4",61,1636,-0.1687,-0.001,0.0317
"m2",123.8,1698.8,-0.3499,0.0699,0.0361
"m1",127.9,1702.9,-0.3828,0.0997,-0.0877
