"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",0,1593.8,-0.3475,0.2985,-0.1046
"m2",4,1597.8,-0.3304,0.165,-0.0315
"m3",7.1,1600.9,-0.3594,0.3582,-0.1175
