"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m5",0,2013,0.7679,6.5688,-0.6945
"m4",80.1,2093.1,0.3118,3.8506,-0.5715
"m6",80.1,2093.1,0.3118,3.8506,-0.5715
"m3",82.1,2095.1,0.6893,2.1261,-0.3351
"m1",86.6,2099.6,2.7799,17.5129,-0.7581
"m2",86.6,2099.6,2.1341,12.2393,-0.7597
