"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",0,1575,-0.0115,0.5387,-0.2678
"m3",2.8,1577.8,-0.2771,0.2081,-0.0325
"m2",3.5,1578.5,-0.4912,0.2135,-0.0378
"m4",12.3,1587.3,-0.3005,0.2217,-0.0064
